f67f1b32-cb6c-4fe4-864e-30082f2d36e5;world;-45;58;-57;arena;join;join
f67f1b32-cb6c-4fe4-864e-30082f2d36e5;world;-66;58;-55;arena;leave;leave
f67f1b32-cb6c-4fe4-864e-30082f2d36e5;world;-66;58;-59;arena;leave;leave
f67f1b32-cb6c-4fe4-864e-30082f2d36e5;world;-57;58;-10;arena;leave;leave
